"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"City of Batavia","Genesee","Finger Lakes","15,600","Designated CEC","1-Star","Medium community","1,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 5/28/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 5/28/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021 
 • Municipal Clean Fleets Inventory (200 points) - 6/18/2024","4"
"City of Beacon","Dutchess","Mid-Hudson","13,769","Designated CEC","5-Star","Medium community","9,600","• 50% Conversion of Decorative Streetlights (200 points) - 9/30/2024 
 • 100% Renewable Electricity - LR (500 points) - 11/3/2021 
 • Benchmarking - Municipal Buildings (100 points) - 6/1/2017 
 • Clean Fleets (100 points) - 1/7/2020 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 5/4/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/5/2020 
 • Climate Smart Communities Certification - Silver (200 points) - 2/9/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 7/16/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 7/16/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 7/16/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 4/16/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 4/16/2024 
 • Community Campaigns - Electric Vehicles (200 points) - 5/26/2022 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 3/5/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 10/2/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 1/26/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 11/5/2019 
 • Energize NY Finance (0 points) - 5/10/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/10/2017 
 • Level 2 Charging Stations - Tier 1 (200 points) - 2/13/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 2/13/2024 
 • NYStretch Energy Code (1200 points) - 2/9/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 4/27/2021 
 • Solarize (0 points) - 5/10/2017","25"
"City of Binghamton","Broome","Southern Tier","47,969","Designated CEC","2-Star","Large community","3,100","• 50% Conversion of Decorative Streetlights (200 points) - 11/5/2024 
 • Clean Fleets (100 points) - 6/29/2017 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 11/5/2024 
 • Energy Code Enforcement Training (300 points) - 10/15/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/25/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/24/2017 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 10/15/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 10/15/2024 
 • Unified Solar Permit (200 points) - 4/24/2017","9"
"City of Buffalo","Erie","Western New York","278,349","Designated CEC","2-Star","Large community","3,100","• Benchmarking - Municipal Buildings (100 points) - 4/15/2021 
 • Clean Fleets (100 points) - 4/10/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 2/13/2024 
 • Complete Open C-PACE Project (400 points) - 2/13/2024 
 • Energize NY Finance (0 points) - 8/11/2020 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2022 
 • Level 2 Charging Stations - Tier 1 (200 points) - 3/19/2024 
 • Municipal Clean Fleets Inventory (200 points) - 10/2/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 4/6/2021","11"
"City of Canandaigua","Ontario","Finger Lakes","10,576","Designated CEC","5-Star","Medium community","9,700","• Benchmarking - Municipal Buildings (100 points) - 10/24/2017 
 • CCA - 100% Renewable Default Supply (1500 points) - 2/5/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 2/5/2024 
 • Clean Energy Upgrades (500 points) - 10/31/2017 
 • Clean Fleets (100 points) - 10/16/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/14/2019 
 • Climate Smart Communities Certification - Silver CSC Certification (600 points) - 6/18/2024 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 7/31/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/2/2021 
 • Energize NY Finance (0 points) - 4/21/2020 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/30/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/11/2020 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/16/2023 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 4/30/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 6/4/2024 
 • NYStretch Energy Code (1200 points) - 10/20/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Unified Solar Permit (200 points) - 8/15/2017","19"
"City of Cohoes","Albany","Capital Region","18,147","Designated CEC","","Medium community","400","• Benchmarking - Municipal Buildings (100 points) - 3/3/2017 
 • Clean Fleets (100 points) - 12/19/2016 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/24/2017 
 • Unified Solar Permit (200 points) - 1/25/2017","4"
"City of Cortland","Cortland","Central New York","17,556","Designated CEC","1-Star","Medium community","1,800","• Benchmarking - Advanced Reporting (300 points) - 6/4/2024 
 • Benchmarking - Municipal Buildings (100 points) - 8/15/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 6/18/2024 
 • Energize NY Finance (0 points) - 8/15/2017 
 • Energy Code Enforcement Training (300 points) - 2/13/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/29/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/12/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 2/18/2021 
 • Solarize (0 points) - 8/15/2017 
 • Unified Solar Permit (200 points) - 8/15/2017","10"
"City of Dunkirk","Chautauqua","Western New York","12,743","Designated CEC","1-Star","Medium community","2,500","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/4/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 6/4/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 5/21/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 5/21/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 11/5/2024 
 • Energy Code Enforcement Training (300 points) - 5/10/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/18/2018 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 5/10/2024","8"
"City of Elmira","Chemung","Southern Tier","26,523","Designated CEC","1-Star","Medium community","1,500","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/26/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/1/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 11/1/2023 
 • Municipal Clean Fleets Inventory (200 points) - 4/30/2024 
 • Unified Solar Permit (200 points) - 4/19/2019","6"
"City of Fulton","Oswego","Central New York","11,389","Designated CEC","1-Star","Medium community","1,300","• Benchmarking - Municipal Buildings (100 points) - 7/3/2018 
 • Energy Code Enforcement Training (300 points) - 2/13/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/19/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/3/2019 
 • Unified Solar Permit (200 points) - 9/3/2019","5"
"City of Geneva","Ontario","Finger Lakes","12,812","Designated CEC","2-Star","Medium community","3,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/5/2023 
 • Benchmarking - Municipal Buildings (100 points) - 6/20/2017 
 • Clean Energy Upgrades (500 points) - 6/29/2017 
 • Clean Fleets (100 points) - 7/27/2018 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 9/5/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/13/2018 
 • Energize NY Finance (0 points) - 9/19/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/25/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/17/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/17/2023 
 • Municipal Clean Fleets Inventory (200 points) - 1/16/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 6/1/2021","13"
"City of Glen Cove","Nassau","Long Island","28,365","Designated CEC","","Medium community","1,500","• Benchmarking - Municipal Buildings (100 points) - 9/1/2017 
 • Clean Fleets (100 points) - 12/5/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/29/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/15/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 12/15/2021 
 • Unified Solar Permit (200 points) - 9/1/2017","7"
"City of Glens Falls","Warren","Capital Region","14,830","Designated CEC","2-Star","Medium community","3,400","• Benchmarking - Municipal Buildings (100 points) - 5/2/2017 
 • CDG Subscription (300 points) - 7/30/2024 
 • Clean Fleets (100 points) - 10/16/2017 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 8/3/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/12/2021 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 7/23/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 7/23/2024 
 • Energize NY Finance (0 points) - 10/16/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/6/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/6/2022 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 6/1/2021 
 • Unified Solar Permit (200 points) - 5/16/2017","14"
"City of Gloversville","Fulton","Mohawk Valley","15,131","Designated CEC","3-Star","Medium community","5,600","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 2/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 2/14/2017 
 • CDG Subscription (300 points) - 9/3/2024 
 • Clean Fleets (100 points) - 2/14/2017 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 2/5/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 10/2/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 10/2/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/23/2017 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 1 (400 points) - 7/30/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 2 (500 points) - 7/30/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 3 (600 points) - 7/30/2024 
 • Level 2 Charging Stations - Tier 1 (200 points) - 8/6/2024 
 • Level 2 Charging Stations - Tier 2 (400 points) - 8/6/2024 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 7/9/2024 
 • Municipal Clean Fleets Inventory (200 points) - 10/1/2024 
 • Unified Solar Permit (200 points) - 3/3/2017","17"
"City of Hornell","Steuben","Southern Tier","8,263","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 8/14/2018","1"
"City of Hudson","Columbia","Capital Region","5,894","Designated CEC","2-Star","Medium community","3,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/30/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 9/30/2024 
 • Benchmarking - Municipal Buildings (100 points) - 8/1/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 12/8/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 1/9/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 10/2/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 10/2/2024 
 • Energize NY Finance (0 points) - 8/15/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/15/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/26/2018 
 • Unified Solar Permit (200 points) - 4/10/2018","11"
"City of Ithaca","Tompkins","Southern Tier","32,108","Designated CEC","2-Star","Medium community","4,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/18/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 6/18/2024 
 • Benchmarking - Municipal Buildings (100 points) - 7/25/2017 
 • Clean Fleets (100 points) - 10/16/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/6/2018 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 6/18/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 7/23/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 6/18/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 7/23/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 7/23/2024 
 • Energize NY Finance (0 points) - 7/25/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/15/2023 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Solarize (0 points) - 7/25/2017","14"
"City of Jamestown","Chautauqua","Western New York","28,712","Designated CEC","","Medium community","1,300","• Clean Fleets - Charging Stations (200 points) - 12/20/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/20/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/24/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 3/24/2021","4"
"City of Kingston","Ulster","Mid-Hudson","24,069","Designated CEC","5-Star","Medium community","11,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/9/2021 
 • Benchmarking - Municipal Buildings (100 points) - 1/12/2017 
 • CDG Subscription (300 points) - 3/26/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 2/5/2024 
 • Clean Energy Upgrades (500 points) - 4/15/2021 
 • Clean Energy Upgrades -Tier 2 (200 points) - 2/13/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 3/5/2024 
 • Clean Fleets (100 points) - 11/30/2016 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 9/17/2021 
 • Clean Heating and Cooling Demo (700 points) - 2/23/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/23/2016 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 1/16/2024 
 • Climate Smart Communities Certification - Silver (200 points) - 2/18/2021 
 • Climate Smart Communities Certification - Silver CSC Certification (600 points) - 1/16/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 11/1/2023 
 • Community Campaigns - Clean Heating and Cooling - Lvl 2 (600 points) - 11/28/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 4/16/2024 
 • Community Campaigns - Community Solar (200 points) - 8/3/2021 
 • Community Campaigns - Community Solar - Lvl 2 (300 points) - 11/21/2023 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 2/16/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 3/5/2024 
 • Energize NY Finance (0 points) - 12/6/2016 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/18/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 2/18/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 2/9/2024 
 • Level 2 Charging Stations - Tier 2 (400 points) - 2/9/2024 
 • NYStretch Energy Code (1200 points) - 5/4/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 2/18/2021 
 • Unified Solar Permit (200 points) - 2/18/2021","29"
"City of Little Falls","Herkimer","Mohawk Valley","4,605","Not Designated","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 5/2/2017 
 • Energy Code Enforcement Training (300 points) - 12/21/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018","3"
"City of Lockport","Niagara","Western New York","20,876","Designated CEC","","Medium community","1,700","• Benchmarking - Municipal Buildings (100 points) - 2/23/2017 
 • Clean Fleets (100 points) - 10/9/2018 
 • Energize NY Finance (0 points) - 4/26/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/5/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/25/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/26/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/26/2022 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Solarize (0 points) - 10/26/2018 
 • Unified Solar Permit (200 points) - 4/4/2017","10"
"City of Long Beach","Nassau","Long Island","35,029","Designated CEC","1-Star","Medium community","2,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 10/26/2021 
 • Benchmarking - Municipal Buildings (100 points) - 2/14/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Energy Code Enforcement Training (300 points) - 4/16/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/28/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/25/2016 
 • Unified Solar Permit (200 points) - 10/17/2016","7"
"City of Middletown","Orange","Mid-Hudson","30,345","Designated CEC","","Medium community","900","• Energize NY Finance (0 points) - 10/2/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/2/2018","4"
"City of Mount Vernon","Westchester","Mid-Hudson","73,893","Designated CEC","1-Star","Large community","1,800","• Community Campaigns - Clean Heating and Cooling (500 points) - 9/6/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/10/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/11/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 10/11/2022 
 • Municipal Clean Fleets Inventory (200 points) - 7/2/2024","5"
